countyNo,name,nameSv
1,Uusimaa,Nyland
2,Varsinais-Suomi,Egentliga Finland
3,Satakunta,Satakunta
4,Kanta-Häme,Egentliga Tavastland
5,Pirkanmaa,Birkaland
6,Päijät-Häme,Päijänne-Tavastland
7,Kymenlaakso,Kymmenedalen
8,Etelä-Karjala,Södra Karelen
9,Etelä-Savo,Södra Savolax
10,Pohjois-Savo,Norra Savolax
11,Pohjois-Karjala,Norra Karelen
12,Keski-Suomi,Mellersta Finland
13,Etelä-Pohjanmaa,Södra Österbotten
14,Pohjanmaa,Österbotten
15,Keski-Pohjanmaa,Mellersta Österbotten
16,Pohjois-Pohjanmaa,Norra Österbotten
17,Kainuu,Kajanaland
18,Lappi,Lappland
19,Ahvenanmaa,Åland